Name,Feed URL,Podcast ID,Description,Issue Codes
Gastropod,https://feeds.megaphone.fm/VMP6255701211,01HJTQFFPJ0PJSDGZNFAFWB2QB,"Food with a side of science and history. Every other week, co-hosts Cynthia Graber and Nicola Twilley serve up a brand new episode exploring the hidden history and surprising science behind a different food- or farming-related topic, from aquaculture to ancient feasts, from cutlery to chile peppers, and from microbes to Malbec. We interview experts, visit labs, fields, and archaeological digs, and generally have lots of fun while discovering new ways to think about and understand the world through food. Find us online at gastropod.com, follow us on Twitter @gastropodcast, and like us on Facebook at facebook.com/gastropodcast.",
Inquisitive,https://www.relay.fm/inquisitive/feed,01HCYEMNF3F5D4MDYBE2SV77B8,"Inquisitive is a show for the naturally curious. Each week, Myke Hurley talks to creative people to try and understand what makes them who they are. Hosted by Myke Hurley.",
Isometric,https://www.relay.fm/isometric/feed,01HCYEKXH1PPZCF509N903B3V0,"Each week, join game developer Brianna Wu, technology journalists Georgia Dow and Mikah Sargent, and game enthusiast Steve Lubitz as they analyze the week’s biggest stories in the video game industry from different perspectives. Hosted by Georgia Dow, Steve Lubitz, Brianna Wu, and Maddy Myers.",
Land of the Giants,https://feeds.megaphone.fm/landofthegiants,01HDAQPTC7G2KV64C8QD8K3SNJ,"Big tech is transforming every aspect of our world. But how? And at what cost? This season of Land of the Giants – The Twitter Fantasy – will tell the story of Twitter (X) at a crucial moment for the platform, exactly one year after Elon Musk took over. Hosted by Vox senior correspondent Peter Kafka, the four-episode season will survey the company's outsize influence on politics and culture. How did Twitter become the Internet’s town square, for better and for worse? And where is it heading, now that Elon’s in charge? 

From Vox and the Vox Media Podcast Network. New episodes drop every Wednesday.",
Less Than or Equal,https://www.relay.fm/ltoe/feed,01HCYEKFMTMYB4AT3436Z2NJCB,Less Than or Equal is a podcast dedicated to celebrating the accomplishments and contributions of geeks facing inequality in their industries. Hosted by Aleen Simms.,
Liftoff,https://www.relay.fm/liftoff/feed,01HCYDY70D3H9Z5D5CAA0RWBX8,"Liftoff is a podcast about space, the universe, and everything. You don’t need to be a rocket scientist to understand the major developments as explained by enthusiastic space fans Stephen Hackett and Jason Snell. Hosted by Jason Snell and Stephen Hackett.",
Longform,https://feeds.megaphone.fm/VMP6079657536,01HJTPQMTX4B04NNMEEKTAJN75,"Interviews with writers, journalists, filmmakers, and podcasters about how they do their work. Hosted by Aaron Lammer, Max Linsky, and Evan Ratliff.",
Mac Power Users,https://www.relay.fm/mpu/feed,01HCYDYXXT14S959P323YTEF3G,"Learn about getting the most from your Apple technology with focused topics and workflow guests. Creating Mac Power Users, one geek at a time since 2009. Hosted by David Sparks and Stephen Hackett.",
Make Do,https://www.relay.fm/makedo/feed,01HCYDZT8AJJV6NARTH74GG634,"Tiff Arment and Julia Skott talk about art and making. They won’t teach you how to turn your creativity into a business. Or how to do anything, really. They just want to talk about doing stuff. Hosted by Tiff Arment and Julia Skott.",
Material,https://www.relay.fm/material/feed,01HCYE0DTMWNKTYP4M06YKAKJ2,"Material is a weekly discussion about the Google and Android universe. Your intrepid hosts try to answer the question, “What holds up the digital world?” The answer, so far, is that it’s Google all the way down. Hosted by Andy Ihnatko and Florence Ion.",
Mixed Feelings,https://www.relay.fm/mixedfeelings/feed,01HCYEK0YQV2F22E1GQP5RQZQ4,"A show about news, politics and pop culture. Every episode, your hosts talk about their favorite stories of the week … and probably at least one random current event that has nothing to do with anything. Hosted by Gillian Parker and Quinn Rose.",
Originality,https://www.relay.fm/originality/feed,01HCYE0Y1KWMWR1RV3Q42Q69VW,"The most common question creative people get asked is, ""Where do you get your ideas?"" That's what Originality is all about: exploring the wheres, hows, and whys of creative genius with K Tempest Bradford, Aleen Simms, and a diverse assortment of guests from a variety of fields. Hosted by Aleen Simms and K Tempest Bradford.",
Parallel,https://www.relay.fm/parallel/feed,01HCYE1A9R539GQ7E9988CCBEP,"Why don’t the worlds of mainstream tech and accessibility tech ever seem to collide? Shelly Brisbin, who keeps one foot in each, wants to know. She and her guests from both worlds chew over the news and trends of the day, mixing in an accessibility perspective.  Hosted by Shelly Brisbin.",
Phoebe Reads a Mystery,https://feeds.megaphone.fm/VMP1850856004,01HJTQC5M6HRV3CTF15DFSR50W,Phoebe reads a mystery novel. Our other shows are Criminal and This is Love.,
Pictorial,https://www.relay.fm/pictorial/feed,01HCYE1PKTR9FHT55HYPYMXQX5,"Quinn and Betty are two non-professional art enthusiasts who love art and want to learn more about it. They take turns researching interesting parts of art history and culture, and sharing those stories with each other. Hosted by Betty Chen and Quinn Rose.",
Planet Money,https://feeds.npr.org/510289/podcast.xml,01HJSSEH8JYR3RGPR3RJP69DKC,"Wanna see a trick? Give us any topic and we can tie it back to the economy. At <em>Planet Money</em>, we explore the forces that shape our lives and bring you along for the ride. Don't just understand the economy – understand the world.<br><br><em>Wanna go deeper? <em>Subscribe to </em><em>Planet Money+ and get sponsor-free episodes of Planet Money, The Indicator, and Planet Money Summer School. Plus access to bonus content. It's a new way to support the show you love. Learn more at plus.npr.org/planetmoney</em><br></em>",
Playing for Fun,https://www.relay.fm/playingforfun/feed,01HCYEJK0D13F6BDQZJNTY3342,"Listen to two best friends talk about a video game they love. What makes it so special, and hard to put down? They’re only Playing for Fun — so it’s just the good stuff, none of the bad stuff. Hosted by Tiff Arment and Myke Hurley.",
Presentable,https://www.relay.fm/presentable/feed,01HCYEHTAA9XXJ2A9Y9CVTQ712,"The Presentable Podcast focuses on how we design and build the products that are shaping our digital future. We'll track the tools, trends, and methods being used by teams from the biggest companies and latest startups. In each episode, Jeff will bring over two decades of experience as a designer, developer, entrepreneur, and investor as he chats with guests about how design is changing the world. Hosted by Jeff Veen.",
Query,https://www.relay.fm/query/feed,01HCYEHE5M8F8BPPKR97SPVHQ3,Query is like that one smart nerd in your family who gets stuck fixing everyone's computers and phones during holiday get-togethers. There's no reason to wait for help when tech goes wrong when there are experts ready to answer your questions. Submit questions by tweeting with the hashtag #askquery. Hosted by Stephen Hackett and Mikah Sargent.,
Reconcilable Differences,https://www.relay.fm/rd/feed,01HCYE235E0WDMQNN3B14FVCCQ,John Siracusa and Merlin Mann try to figure out exactly how they got this way. Hosted by Merlin Mann and John Siracusa.,
Remaster,https://www.relay.fm/remaster/feed,01HCYE2Q2ENAMS94A1WMM9AEA9,"A show about playing games and making games. Federico and Myke have long been thoughtful observers of the games industry, an industry Shahid has been a part of for over 30 years. Coupling this life-long love of games with a lifetime of experience makes Remaster a show you don’t want to miss. Hosted by Federico Viticci, Shahid Kamal Ahmad, and Myke Hurley.",
Roboism,https://www.relay.fm/roboism/feed,01HCYE368QP9BQAFF9AXC12TQV,"Roboism is a show mostly about robots. We are exploring how artificial intelligence, machine learning, and digital assistants are affecting our culture. Come explore the humanity behind the bots that are quickly becoming a part of every day life. Hosted by Kathy Campbell and Alex Cox.",
Robot or Not?,https://feeds.theincomparable.com/robot,01HDAR87PYC0BF7424V8K7R2T2,"Jason Snell asks John Siracusa to rule on the meaning of various words and concepts. It’s not just about robots anymore.

Have a question for John? Email robot@theincomparable.com.
",
Rocket,https://www.relay.fm/rocket/feed,01HCYE3MWW9KTPA6ZHY3TRJDP3,"Countdown to excitement! Every week Christina Warren, Brianna Wu and Simone de Rochefort have accelerated geek conversation. Tech, comics, movies, games and books, no galaxy is off limits! Hosted by Christina Warren, Brianna Wu, and Simone De Rochefort.",
Serial,https://feeds.simplecast.com/xl36XBC2,01HJSSBRMMBB6PMRMCF7GHXT1R,"Serial Productions makes narrative podcasts whose quality and innovation transformed the medium. “Serial” began in 2014 as a spinoff of the public radio show “This American Life.” In 2020, we joined the New York Times Company. Our shows have reached many millions of listeners and have won nearly every major journalism award for audio, including the first-ever Peabody Award given to a podcast.

Subscribe to our newsletter for the latest Serial Productions news: https://bit.ly/3FIOJj9

Have thoughts or feedback on our shows? Email us at serialshows@nytimes.com",
Stacktrace,https://stacktracepodcast.fm/feed.rss,01HDARF38W0ZQK3BYN9KVJV2MC,A podcast about life and technology from two developers’ perspectives. With John Sundell and Gui Rambo.,
Switched on Pop,https://feeds.megaphone.fm/switchedonpop,01HJTPGD7RMWD06X9T3HPX76MM,A podcast all about the making and meaning of popular music. Musicologist Nate Sloan & songwriter Charlie Harding pull back the curtain on how pop hits work magic on our ears & our culture. From Vulture and the Vox Media Podcast Network.,
Syntax - Tasty Web Development Treats,https://feed.syntax.fm/rss,01HDARB5ZKBT5WR1FZZ1WGSV1D,"Full Stack Developers Wes Bos and Scott Tolinski dive deep into web development topics, explaining how they work and talking about their own experiences. They cover from JavaScript frameworks like React, to the latest advancements in CSS to simplifying web tooling.",
The Adventure Zone,https://feeds.simplecast.com/cYQVc__c,01HDARKBCH4VK5SRZ4Q39KJ46P,"Justin, Travis and Griffin McElroy from My Brother, My Brother and Me have recruited their dad Clint for a campaign of high adventure. Join the McElroys as they find their fortune and slay an unconscionable number of ... you know, kobolds or whatever in ... The Adventure Zone..",
The Backmarkers,https://www.relay.fm/backmarkers/feed,01HCYE48EJTE5Y5G6Q2C2N4EVZ,"An F1 Podcast for new fans, by new fans. Austin and Myke may not have decades of experience with the sport, but they have a lot of heart – just like those at the back of the pack. Listen to their LIVE reactions to each and every race of the F1 season. Hosted by Austin Evans and Myke Hurley.",
The Enthusiasm Project,https://feeds.buzzsprout.com/1235126.rss,01HJ4ZV0P8QW0N0MQTKY49VDFQ,"My name is Tom and this is The Enthusiasm Project! Join me each week for deep dives exploring the world of what it means to be an independent creator on YouTube, audio/video production, and keeping a positive, enthusiastic mindset along the way.",
The Gray Area with Sean Illing,https://feeds.megaphone.fm/theezrakleinshow,01HJTPM5W3JX6N9GR3WF58Z6A3,"The Gray Area with host Sean Illing is a philosophical take on culture, politics, and everything in between. We don’t pretend to have the answers, but we do offer a space for real dialogue. Resist certainty, embrace ambiguity, and get some cool takes on a very hot world. Formerly the Vox Conversations podcast. New episodes drop every Monday.",
The Pen Addict,https://www.relay.fm/penaddict/feed,01HCYE4NPRP6BSCDJT9EDYTG3Q,"The Pen Addict is a weekly fix for all things stationery. Pens, pencils, paper, ink – you name it, and Brad Dowdy and Myke Hurley are into it. Join as they geek out over the analog tools they love so dearly. Hosted by Brad Dowdy and Myke Hurley.",
The Prompt,https://www.relay.fm/prompt/feed,01HCYEH0GE6B55Q1B5T0PDR01V,"The Prompt was a weekly panel discussion on technology, and the culture surrounding Apple and related companies. It was hosted by Federico Viticci, Myke Hurley, and Stephen Hackett. The Prompt became Connected when Relay FM launched. Hosted by Federico Viticci, Stephen Hackett, and Myke Hurley.",
The Talk Show With John Gruber,https://daringfireball.net/thetalkshow/rss,01HCHY0B18EBC05H6GNB40BJ1B,"The director’s commentary track for Daring Fireball. Long digressions on Apple, technology, design, movies, and more.",
The Test Drivers,https://www.relay.fm/testdrivers/feed,01HCYEGF8G4DAM39BSJYCFHW7W,"New or old, loved or hated — The Test Drivers put tech through its paces; no matter if it’s the absolute cutting edge or collecting dust in the bargain bin. From smartphones to laptops, software to gaming consoles — anything could be a daily driver. Hosted by Austin Evans and Myke Hurley.",
The Vergecast,https://feeds.megaphone.fm/vergecast,01HDAQKEJDMQVFF1YY2NR9VAPS,"The Vergecast is the flagship podcast from The Verge about small gadgets, Big Tech, and everything in between. Every Friday, hosts Nilay Patel, David Pierce, and Alex Cranz hang out and make sense of the week’s most important technology news. And every Tuesday, David leads a selection of The Verge’s expert staffers in an exploration of how gadgets and software affect our lives – and which ones you should bring into yours. ",
The Weeds,https://feeds.megaphone.fm/theweeds,01HJTPEXX68EP8ASQ0HTSK5A9Q,"Politics is how people achieve power. Policy is what they do with it. Every week on The Weeds, host Jonquilyn Hill and guests break down the policies that shape our lives, from abortion to financial regulations to affirmative action to housing. We dive deep and we get wonky, but we have fun along the way. New episodes drop every Wednesday.
Produced by Vox and the Vox Media Podcast Network.",
The Zachtronics Podcast,https://feeds.feedburner.com/TheZachtronicsPodcast,01HDAVJW27TY8ANFZW1B8TC0GH,,NoDescription
This American Life,https://www.thisamericanlife.org/podcast/rss.xml,01HJSSA051D8X6VFC6A7X96AC0,"Each week we choose a theme. Then anything can happen. This American Life is true stories that unfold like little movies for radio. Personal stories with funny moments, big feelings, and surprising plot twists. Newsy stories that try to capture what it’s like to be alive right now. It’s the most popular weekly podcast in the world, and winner of the first ever Pulitzer Prize for a radio show or podcast. Hosted by Ira Glass and produced in collaboration with WBEZ Chicago.",
This is Love,https://feeds.megaphone.fm/VMP8871377602,01HJTQB3ZGVKEWAZ5RSNRYG0ST,"Love is more than you think.
From the creators of Criminal. New episodes twice a month.
Part of the Vox Media Podcast Network.",
Thoroughly Considered,https://www.relay.fm/tc/feed,01HCYE51YH7AN62Y2KCRF7R9MK,"A show about entrepreneurship, product design, and the ups and downs of running a small indie business. Hosted by Dan Provost, Tom Gerhardt, and Myke Hurley.",
"Today, Explained",https://feeds.megaphone.fm/VMP5705694065,01HJTPH4C4RRJEAF5QPKKEDMKF,"Today, Explained is Vox's daily news explainer podcast. Hosts Sean Rameswaram and Noel King will guide you through the most important stories of the day.

Part of the Vox Media Podcast Network.",
Top Four,https://www.relay.fm/topfour/feed,01HCYE5EAMY0YS400CAGECRB0K,An opinionated podcast by opinionated people. Hosted by Marco Arment and Tiff Arment.,
Under the Radar,https://www.relay.fm/radar/feed,01HCYE5SV2YFFY0JJA6RBNA9DE,"From development and design to marketing and support, Under the Radar is all about independent app development. It's rarely longer than 30 minutes.  Hosted by Marco Arment and David Smith.",
Unexplainable,https://feeds.megaphone.fm/unexplainable,01HJTPK0XHMDJQKMYYZXX2GF7Z,"Unexplainable takes listeners right up to the edge of what we know ... and then keeps right on going. This Vox podcast explores scientific mysteries, unanswered questions, and all the things we learn by diving into the unknown. New episodes every Wednesday.",
Ungeniused,https://www.relay.fm/ungeniused/feed,01HCYE6688SH75G9GPVY7KG0RA,Ungeniused is a show dedicated to covering the weirdest articles found on Wikipedia. Stephen Hackett and Myke Hurley are here to explain topics and share knowledge you'll never be able to use in real life. Hosted by Stephen Hackett and Myke Hurley.,
Upgrade,https://www.relay.fm/upgrade/feed,01HCYE73CAFP6Y88YKG9EJCXYM,"Upgrade looks at how technology shapes our lives, from the devices in our hands and pockets to the streaming services that keep us entertained. Hosted by Jason Snell and Myke Hurley.",
Virtual,https://www.relay.fm/virtual/feed,01HCYEG44M184MRNA9JMWYT80P,"A show about games, gamers, game makers and the surrounding culture. Virtual focuses on the titles that laid the foundations of gaming today and those that are paving the way as gaming continues to evolve. Hosted by Federico Viticci and Myke Hurley.",
Waveform: The MKBHD Podcast,https://feeds.megaphone.fm/STU4418364045,01HDAQJF2XKD998RNF2GH5QAFB,"A tech podcast for the gadget lovers and tech heads among us from the mind of Marques Brownlee, better known as MKBHD. MKBHD has made a name for himself on YouTube reviewing everything from the newest smartphones to cameras to electric cars. Pulling from over 10 years of experience covering the tech industry, MKBHD and co-hosts Andrew Manganelli and David Imel will keep you informed and entertained as they take a deep dive into the latest and greatest in tech and what deserves your hard earned cash. New episodes every week. Waveform is part of the Vox Media Podcast Network.
We wanna make the podcast even better, help us learn how we can: https://bit.ly/2EcYbu4 ",
What the Flux,https://omny.fm/shows/what-the-flux/playlists/what-the-flux.rss,01HDATGEGS095PFK0VNYQPGC5E,"<p>Bite-sized business news. 5 minute breakdown of the top 3 Australian or global business stories of the day. Tailor made for busy humans. Hosted by Brett Joffe and Justin Joffe, co-founders of Flux.</p>",
